No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1111,926,733,2770
2,Kota Palopo,143,9,3,155
3,Kota Parepare,93,50,28,171
4,Kabupaten Bantaeng,156,3,0,159
5,Kabupaten Barru,67,8,0,75
6,Kabupaten Bone,307,20,1,328
7,Kabupaten Bulukumba,255,36,0,291
8,Kabupaten Enrekang,173,13,0,186
9,Kabupaten Gowa,365,252,89,706
10,Kabupaten Jeneponto,260,18,0,278
11,Kabupaten Kepulauan Selayar,74,5,0,79
12,Kabupaten Luwu,64,3,1,68
13,Kabupaten Luwu Timur,442,56,141,639
14,Kabupaten Luwu Utara,187,32,0,219
15,Kabupaten Maros,185,39,20,244
16,Kabupaten Pangkajene Dan Kepulauan,112,19,1,132
17,Kabupaten Pinrang,180,21,4,205
18,Kabupaten Sidenreng Rappang,82,34,25,141
19,Kabupaten Sinjai,208,14,4,226
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,54,25,0,79
22,Kabupaten Tana Toraja,148,4,3,155
23,Kabupaten Toraja Utara,160,3,0,163
24,Kabupaten Wajo,62,9,1,72
25,Rekreasi Duta Covid19 SulSel,8,1,252,261
26,RS Lain-lain,1,6,37,44
-,Jumlah Sulsel,4988,1625,1352,7965
