No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9726,14269
2,Kota Palopo,179,14,377,570
3,Kota Parepare,168,109,337,614
4,Kabupaten Bantaeng,171,3,261,435
5,Kabupaten Barru,72,10,106,188
6,Kabupaten Bone,322,22,327,671
7,Kabupaten Bulukumba,389,54,349,792
8,Kabupaten Enrekang,321,23,176,520
9,Kabupaten Gowa,565,324,1571,2460
10,Kabupaten Jeneponto,530,38,576,1144
11,Kabupaten Kepulauan Selayar,84,7,171,262
12,Kabupaten Luwu,239,3,131,373
13,Kabupaten Luwu Timur,446,87,1580,2113
14,Kabupaten Luwu Utara,278,40,392,710
15,Kabupaten Maros,278,78,633,989
16,Kabupaten Pangkajene Dan Kepulauan,173,68,218,459
17,Kabupaten Pinrang,570,32,200,802
18,Kabupaten Sidenreng Rappang,119,54,178,351
19,Kabupaten Sinjai,278,23,455,756
20,Kabupaten Soppeng,82,40,234,356
21,Kabupaten Takalar,126,33,325,484
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,43,227
24,Kabupaten Wajo,74,25,209,308
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,446,446
-,Jumlah Sulsel,9001,2547,19711,31259
