No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,8933,13476
2,Kota Palopo,179,14,286,479
3,Kota Parepare,168,109,302,579
4,Kabupaten Bantaeng,171,3,203,377
5,Kabupaten Barru,72,10,99,181
6,Kabupaten Bone,322,22,155,499
7,Kabupaten Bulukumba,389,54,299,742
8,Kabupaten Enrekang,321,23,154,498
9,Kabupaten Gowa,565,324,1406,2295
10,Kabupaten Jeneponto,530,38,440,1008
11,Kabupaten Kepulauan Selayar,84,7,165,256
12,Kabupaten Luwu,239,3,89,331
13,Kabupaten Luwu Timur,446,87,1449,1982
14,Kabupaten Luwu Utara,278,40,299,617
15,Kabupaten Maros,278,78,567,923
16,Kabupaten Pangkajene Dan Kepulauan,173,68,195,436
17,Kabupaten Pinrang,570,32,173,775
18,Kabupaten Sidenreng Rappang,119,54,161,334
19,Kabupaten Sinjai,278,23,396,697
20,Kabupaten Soppeng,82,40,202,324
21,Kabupaten Takalar,126,33,305,464
22,Kabupaten Tana Toraja,249,13,116,378
23,Kabupaten Toraja Utara,178,6,33,217
24,Kabupaten Wajo,74,25,142,241
25,Rekreasi Duta Covid19 SulSel,8,0,576,584
26,RS Lain-lain,0,0,448,448
-,Jumlah Sulsel,9001,2547,17593,29141
