No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2869,1441,5578,9888
2,Kota Palopo,179,14,56,249
3,Kota Parepare,159,109,104,372
4,Kabupaten Bantaeng,171,3,93,267
5,Kabupaten Barru,72,10,13,95
6,Kabupaten Bone,322,22,38,382
7,Kabupaten Bulukumba,384,54,214,652
8,Kabupaten Enrekang,288,23,41,352
9,Kabupaten Gowa,565,324,960,1849
10,Kabupaten Jeneponto,529,38,136,703
11,Kabupaten Kepulauan Selayar,84,7,29,120
12,Kabupaten Luwu,239,3,31,273
13,Kabupaten Luwu Timur,446,87,836,1369
14,Kabupaten Luwu Utara,278,40,43,361
15,Kabupaten Maros,278,78,304,660
16,Kabupaten Pangkajene Dan Kepulauan,167,68,87,322
17,Kabupaten Pinrang,568,32,29,629
18,Kabupaten Sidenreng Rappang,108,54,82,244
19,Kabupaten Sinjai,278,23,193,494
20,Kabupaten Soppeng,82,40,129,251
21,Kabupaten Takalar,126,33,141,300
22,Kabupaten Tana Toraja,249,13,59,321
23,Kabupaten Toraja Utara,178,6,9,193
24,Kabupaten Wajo,72,25,23,120
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,333,333
-,Jumlah Sulsel,8699,2547,10446,21692
